Seat Number,SGPA,Information Retrieval in AI,Cloud Computing,Deep Learning for AI,Block Chain,DevOps in Machine Learning,Lab Practice III,Lab Practice IV,Project Stage I
B1903103401,9.05,77,75,71,73,65,84,76,84
B1903103402,8.9,68,72,78,70,66,82,74,82
B1903103403,8.8,77,74,77,55,69,90,86,92
B1903103404,9,73,78,71,68,78,78,86,82
B1903103405,9.1,77,71,79,65,74,84,90,80
B1903103406,8.05,67,63,62,57,51,86,86,82
B1903103407,6.4,59,57,49,53,56,54,64,50
B1903103408,9,79,73,77,73,64,72,90,82
B1903103409,8.65,67,75,66,70,67,92,56,86
B1903103410,8.8,75,68,74,67,63,86,90,86
B1903103411,9.1,74,73,68,70,71,80,86,88
B1903103412,8.6,77,68,68,68,68,94,76,82
B1903103413,9,72,70,74,71,62,88,60,80
B1903103414,9.1,68,74,70,74,73,82,80,86
B1903103415,9.7,84,76,80,78,82,92,92,92
B1903103416,9.25,72,73,72,74,76,92,88,86
B1903103417,8.85,74,69,75,64,72,78,96,84
B1903103418,7.35,59,49,61,50,58,88,82,72
B1903103419,9.15,74,73,75,74,74,90,82,78
B1903103420,8.8,68,66,69,71,70,82,82,84
B1903103421,8.65,66,60,70,61,61,80,86,82
B1903103422,8.65,61,67,64,70,66,90,86,86
B1903103423,9.25,75,70,73,75,75,92,90,84
B1903103424,8.6,70,69,67,69,75,72,86,74
B1903103425,8.7,68,63,69,71,70,72,86,82
B1903103426,8.95,68,70,72,69,72,90,92,84
B1903103427,8,70,60,52,67,59,66,88,80
B1903103428,8.65,69,62,73,70,73,74,68,78
B1903103429,7.9,58,67,61,60,54,74,70,80
B1903103430,9.1,67,76,73,74,70,90,92,84
B1903103431,7.9,52,64,60,60,54,82,82,80
B1903103432,9.1,69,76,74,76,73,90,92,92
B1903103433,0,66,77,60,0,0,76,88,80
B1903103434,8.85,62,87,66,70,68,72,82,80
B1903103435,9.1,69,80,70,69,77,88,88,84
B1903103436,9.1,68,78,77,77,73,90,84,86
B1903103437,9.2,78,87,70,71,69,88,78,86
B1903103438,8.45,60,71,65,68,66,72,84,78
B1903103439,9,70,73,65,77,77,88,88,76
B1903103440,8.95,63,84,72,70,75,68,80,78
B1903103441,9.85,80,87,81,77,80,84,92,90
B1903103442,8.8,63,77,70,70,73,60,86,74
B1903103443,9.4,71,80,70,73,79,94,92,92
B1903103444,8.7,65,74,66,74,75,70,74,72
B1903103445,9.25,64,80,73,75,78,84,82,84
B1903103446,8.8,63,72,70,65,60,90,88,86
B1903103447,8.95,74,78,69,62,78,88,88,92
B1903103448,9.4,71,82,70,73,75,88,92,84
B1903103449,9.25,74,82,71,62,76,96,96,92
B1903103450,8.65,61,67,61,66,70,82,90,86
B1903103451,6.8,55,46,55,50,48,74,80,70
B1903103452,9.4,77,90,79,71,78,84,82,84
B1903103453,8.65,67,71,65,65,67,80,88,80
B1903103454,9.1,67,84,74,66,71,90,92,90
B1903103455,9.1,68,75,78,70,75,88,84,82
B1903103456,6.3,53,49,45,53,44,84,80,72
B1903103457,8.95,67,78,75,64,70,86,96,86
B1903103458,9.4,73,79,76,73,81,94,96,86
B1903103459,7.75,54,71,59,55,59,80,72,70
B1903103460,9.25,74,80,78,72,67,90,84,82
B1903103461,8.15,61,62,62,62,66,62,70,72
B1903103462,8.65,65,75,68,67,69,82,90,86
B1903103463,9.4,78,82,76,76,78,96,96,92
B1903103464,8.7,70,72,73,77,69,62,64,78
B1903103465,7.65,58,62,62,65,59,68,58,64
B1903103466,7.95,63,69,61,61,46,90,84,70
B1903103467,8.9,66,81,72,67,73,76,90,78
