Seat Number,SGPA,Information & Storage Retrieval,Software Project MaNAgement,Deep Learning,Smart Computing,Introduction to DevOps,Lab Practice III,Lab Practice IV,Project Stage I,Copyrights and Patents,Mobile Computing,Wireless Communication
B1903108501,9.2,71,71,79,72,77,82,72,80,0,0,0
B1903108502,8.55,68,57,73,67,75,92,62,82,0,0,0
B1903108503,8,67,57,60,65,51,80,70,80,0,0,0
B1903108504,8.65,70,68,66,65,61,92,80,80,0,0,0
B1903108505,8.95,70,71,75,74,69,78,78,86,0,0,0
B1903108506,8.1,76,62,54,0,0,84,62,80,0,76,52
B1903108507,7.3,56,47,51,61,50,90,80,90,0,0,0
B1903108508,7.35,64,58,48,60,48,80,62,88,0,0,0
B1903108509,7.85,65,56,63,0,0,82,66,76,0,62,52
B1903108510,9.35,72,71,77,77,81,90,78,84,0,0,0
B1903108511,9.05,74,70,71,67,0,88,72,86,0,0,77
B1903108512,6.85,48,50,54,0,0,80,72,74,0,61,45
B1903108513,9.4,81,77,70,73,78,92,94,88,0,0,0
B1903108514,8.65,67,67,78,77,76,84,64,64,0,0,0
B1903108515,7.95,67,63,59,60,53,82,60,80,0,0,0
B1903108516,8.85,74,71,70,69,61,80,86,74,0,0,0
B1903108517,9.2,78,76,71,76,77,80,70,82,0,0,0
B1903108518,8.6,64,70,66,69,68,80,76,90,0,0,0
B1903108519,8.65,66,68,72,67,63,90,96,80,0,0,0
B1903108520,9.1,71,69,80,0,0,88,58,80,0,72,73
B1903108521,8.7,80,64,67,61,61,90,86,76,0,0,0
B1903108522,9,77,77,79,77,79,74,58,80,0,0,0
B1903108523,8.55,68,71,65,0,73,90,66,86,0,59,0
B1903108524,9.1,68,73,75,74,74,92,96,90,0,0,0
B1903108525,8,61,59,63,61,54,90,72,82,0,0,0
B1903108526,8.8,63,71,66,64,71,86,84,80,0,0,0
B1903108527,8.3,59,69,65,66,65,90,74,86,0,0,0
B1903108528,7.45,57,51,55,61,0,86,84,90,0,0,48
B1903108529,8.55,78,66,76,67,63,82,72,60,0,0,0
B1903108530,9.7,88,75,82,79,80,92,94,84,0,0,0
B1903108531,8.6,65,63,73,0,0,82,66,76,0,70,65
B1903108532,7.7,59,50,67,57,58,82,74,84,0,0,0
B1903108533,9.6,80,76,80,0,0,82,90,78,0,81,78
B1903108534,9.2,77,74,78,71,72,86,76,84,0,0,0
B1903108535,9.05,72,74,79,0,0,88,72,84,0,68,78
B1903108536,9.2,80,76,72,70,67,8,78,90,0,0,0
B1903108537,7.95,66,59,64,59,59,86,88,74,0,0,0
B1903108538,8.95,71,73,68,71,69,90,84,80,0,0,0
B1903108539,9.2,70,70,71,70,75,86,72,88,0,0,0
B1903108540,9.05,77,74,75,67,74,82,76,84,0,0,0
B1903108541,9,77,78,73,72,78,84,76,64,0,0,0
B1903108542,8.95,70,76,61,71,67,82,96,90,0,0,0
B1903108543,8.6,63,69,66,72,0,88,76,88,0,0,65
B1903108544,7.3,52,54,57,0,0,84,82,90,0,55,50
B1903108545,8.45,61,61,63,62,62,86,78,84,0,0,0
B1903108546,9.4,79,82,76,0,77,90,94,80,0,73,0
B1903108547,9.5,72,81,74,79,81,90,76,92,0,0,0
B1903108548,9.2,74,72,76,72,71,90,76,94,0,0,0
B1903108549,9.1,70,70,60,72,71,84,90,92,0,0,0
B1903108550,8.95,76,75,72,0,0,86,76,76,0,69,73
B1903108551,9.55,81,75,71,80,78,88,92,86,0,0,0
B1903108552,8.9,77,72,68,72,65,82,76,86,0,0,0
B1903108553,7.85,70,66,53,54,58,80,70,82,0,0,0
B1903108554,8.85,77,70,72,0,0,84,80,78,0,69,65
B1903108555,8.95,72,73,69,79,69,92,88,82,0,0,0
B1903108556,9.4,80,81,74,74,77,88,72,74,0,0,0
B1903108557,8.95,79,60,70,77,78,92,76,76,0,0,0
B1903108558,8.3,62,62,61,75,62,78,58,72,0,0,0
B1903108559,9.05,73,69,71,73,0,90,76,84,0,0,71
B1903108560,9.25,82,79,79,0,0,84,86,94,0,65,79
B1903108561,8.95,77,70,75,0,0,94,86,90,0,69,67
B1903108562,9.45,71,72,82,76,81,82,90,72,0,0,0
B1903108564,8.95,74,71,70,0,0,90,90,84,0,58,73
B1903108565,9.55,83,74,80,78,78,90,86,82,0,0,0
